Participant ID;Participant Name;Participant Email;Participant Company;Total Correct Answers;Haben Sie schon mal einen Statistikkurs besucht?;Wie viele Geschwister haben Sie?;Wie groß sind Sie (in cm)?;In welcher Übungsgruppe sind Sie?
91a24f7f68efd9e1b8046bc412284be7499c4a5e;Anonymous;Anonymous;Anonymous;7;nein;2;178;4
03d36d395f0b78418350c094f006d35b80508c3b;Anonymous;Anonymous;Anonymous;9;nein;0;1.74;1
4fb070fbae9a54a4653357ac768812f56689713e;Anonymous;Anonymous;Anonymous;8;nein;2;185;3
df7bdb83716947d2153e5ffaf494e4ab3cec7731;Anonymous;Anonymous;Anonymous;10;ja;2;162;4
bca19eed29cab5ec5ff67c4a73d5ab0229e12092;Anonymous;Anonymous;Anonymous;9;ja;1;173;1
c87d4b8b01a539d5fe79ed1abd3e32766ee4873c;Anonymous;Anonymous;Anonymous;10;nein;2;193;1
9edfe9127740b07f39c83b287ca4144d62978069;Anonymous;Anonymous;Anonymous;6;nein;1;179;1
f2fc9f410999b5d1d17d5200919b214b9e3cde97;Anonymous;Anonymous;Anonymous;10;nein;2;170;2
e9b55e2efe0d68813845fe5e0227a2e3e725dc6f;Anonymous;Anonymous;Anonymous;7;ja;2;167;1
296472f5515d01a134d70c863e2963f49ce45a64;Anonymous;Anonymous;Anonymous;6;nein;1;169;3
39594601e57e6f23abb38af7e7cf27a13eb8326d;Anonymous;Anonymous;Anonymous;7;nein;2;172;3
bb7ec52b2a2facd7f4b4db41c86c7973062b784c;Anonymous;Anonymous;Anonymous;7;nein;1;158;3
acad2cf9e54507d68134b0e97249dc99637ba22a;Anonymous;Anonymous;Anonymous;6;ja;2;190;4
8294f1fc4872eff61d5678f68d71ee2a88cb80ac;Anonymous;Anonymous;Anonymous;8;nein;1;1,73;1
79176dcc779816eebced6a5988b4cfa9f34094e4;Anonymous;Anonymous;Anonymous;7;nein;1;184;3
215ba0a4d09dcfc1dfc98e223e295efd7202ca89;Anonymous;Anonymous;Anonymous;6;nein;1;203;1
31fb8cb3e255557f447ae0439e74cfa2774d6809;Anonymous;Anonymous;Anonymous;9;nein;1;170;2
604efa22634a6c6ebe772ee9f57cef19c07ce99b;Anonymous;Anonymous;Anonymous;2;ja;1;175;1
3403de3a003f781133f51f144c6bb97527ff60bb;Anonymous;Anonymous;Anonymous;7;nein;1;174;1
09943a069bd6441d36b3d93be7798929bb34103a;Anonymous;Anonymous;Anonymous;11;ja;2;168;1
43d64cda622cec5af2e5859e17796ccffd35faf5;Anonymous;Anonymous;Anonymous;7;nein;1;171;3
8bf81eab35a7253381cd0acae8317cc73a3d09cd;Anonymous;Anonymous;Anonymous;9;ja;1;178;3
37c1442b718670b06cf2b5c75e0e02901f794b75;Anonymous;Anonymous;Anonymous;6;nein;1;174;2
75b1c894570d94d5b1dca70c535b22b34e58a112;Anonymous;Anonymous;Anonymous;3;ja;1;193;4
215892f251ec223804da4bca0283077b6560290a;Anonymous;Anonymous;Anonymous;7;nein;3;167;3
04f11347ebe837c5465ecc0861215f7d041e8885;Anonymous;Anonymous;Anonymous;7;nein;0;;1
6af8dde3355380e014ed068a5d9d7f6038ae8376;Anonymous;Anonymous;Anonymous;10;ja;1;176;3
87b8c8033eefa48889dbf50878c27a9bde78de9f;Anonymous;Anonymous;Anonymous;8;nein;0;195;3
20c99529e117335ca8fe0984b38763a848bed740;Anonymous;Anonymous;Anonymous;10;nein;2;198;2
3967e1a69c82324da3e63de97bc1f2abe920fe37;Anonymous;Anonymous;Anonymous;7;ja;3;1,68;5
91eacbdda9007163426c10ab206d921b751867cd;Anonymous;Anonymous;Anonymous;10;ja;1;179;3
91eb297e2509f6986c3780e8ceb9d81e866a5181;Anonymous;Anonymous;Anonymous;7;nein;2;1,88cm;2
adfc654d35e20680173f1aa8f6ee045c3e48b2d1;Anonymous;Anonymous;Anonymous;10;nein;1;167;2
05ac3b23fda1f5cd03574205343e80bb42615ec4;Anonymous;Anonymous;Anonymous;9;ja;2;1,68;3
8b0536612f72a2053ecf511b41349ce305185343;Anonymous;Anonymous;Anonymous;6;ja;0;177;3
2aaa445cada5943d4d359156168e64b1c02ce14b;Anonymous;Anonymous;Anonymous;1;nein;1;169;4
b29394b8fc584b0d686caedf36da3cbcc422e99f;Anonymous;Anonymous;Anonymous;6;nein;2;;1
26da682c7f453b891e3e2e31a401972e2fe72fa4;Anonymous;Anonymous;Anonymous;2;ja;2;1,85cm;1
c3f7d71d3286b137d9f9ad7cd4adb8cce2b8a0d8;Anonymous;Anonymous;Anonymous;6;nein;1;1,80;1
9465098e94d4d8901d371bd69b94ffe88f9572fd;Anonymous;Anonymous;Anonymous;7;nein;2;168;3
5b7c184003491d7a1f8406e1682727b136e4a816;Anonymous;Anonymous;Anonymous;5;nein;1;1,67cm;3
5f7c90f7815e0e81462c903735fdbec3e35f8ea5;Anonymous;Anonymous;Anonymous;7;ja;1;194;4
0a561481bd2c44c9ac7247e6b5472456fa214f97;Anonymous;Anonymous;Anonymous;8;ja;1;1,78cm;2
f35665724c812acc90face24cba5d7b062eda523;Anonymous;Anonymous;Anonymous;9;nein;1;181;3
c78321302bac1a5cc0be0a2ee37d6f2be8cc132a;Anonymous;Anonymous;Anonymous;3;ja;1;1,89;2
f3e13147fb6b83970b8321d380ce562988d3f7b8;Anonymous;Anonymous;Anonymous;8;ja;3;188;3
7ba480d2e39783b100a26acb00948b5caf7489f4;Anonymous;Anonymous;Anonymous;7;ja;1;166;1
351738f3bb2e2d7ba9a14bf8c8c9c3754cccef7a;Anonymous;Anonymous;Anonymous;5;ja;1;173;1
45c522f4bc1ccc03ed5137c074c626641302d585;Anonymous;Anonymous;Anonymous;6;nein;1;165;1
3c235b23609856ddcd1ba3d273cd5239181f86ed;Anonymous;Anonymous;Anonymous;10;nein;1;180;2
b68502c4d85b3aa94059763bc6e5a33e5f981562;Anonymous;Anonymous;Anonymous;8;nein;2;168;3
043b65fc38ff9426413c0ed0c3146b3c9e1cdf7e;Anonymous;Anonymous;Anonymous;7;nein;1;165;3
f18acb4763ce9009f7e82c7936ce38d2d17f2b8e;Anonymous;Anonymous;Anonymous;9;nein;2;165;3
eb6b82e8626125042d1779b61f8815c8ddc14892;Anonymous;Anonymous;Anonymous;6;nein;1;171;2
40252a0ac7c2c0140e466aeecdaff7c104a9ce3c;Anonymous;Anonymous;Anonymous;7;nein;4;169;1
0ec26103fa10a8b26c4ad0ddf8e8a95a5a596b86;Anonymous;Anonymous;Anonymous;6;nein;1;173;1
72477d9c0df488d8cd9ad4f12dbce17456b8f054;Anonymous;Anonymous;Anonymous;0;nein;0;176;2
0b8c0040584efbfa6e3654c8c21c089a56a2fd63;Anonymous;Anonymous;Anonymous;8;nein;1;177;1
4e74dbcc711cd035a038decc480f692ba63cda28;Anonymous;Anonymous;Anonymous;5;nein;5 und mehr;178;1
195959b47e7038b2feac6e5b56ce53b3be803ea9;Anonymous;Anonymous;Anonymous;7;nein;2;163;3
a782a89e0f1b4bef12978b7a44dac1efd7979fad;Anonymous;Anonymous;Anonymous;8;nein;2;183;1
29e665522f86c3f1ee00b6b57c7aa5d51429e816;Anonymous;Anonymous;Anonymous;7;nein;1;1,66 cm;3
7521c576cc0e640c4f37377893d4f44d956a8aad;Anonymous;Anonymous;Anonymous;5;nein;4;171;1
6e13db035de5a1a872a584593ae76c3958671f63;Anonymous;Anonymous;Anonymous;4;nein;1;173cm;2
2340b4916697042c509d5a22dfd009215e6b9607;Anonymous;Anonymous;Anonymous;0;nein;2;165;4
