Haben Sie schon mal einen Statistikkurs besucht?;Wie viele Geschwister haben Sie?;Wie groß sind Sie (in cm)?;In welcher Übungsgruppe sind Sie?
ja;0;178;1
nein;0;185;1
nein;0;170;4
ja;5 und mehr;174;2
ja;2;196;2
nein;1;168;4
nein;1;173;3
nein;1;170;3
nein;1;170;1
nein;1;154;1
nein;1;160;1
nein;1;170;2
nein;0;1,75;2
nein;2;186;3
nein;0;180;5
nein;1;182;1
nein;2;160;2
nein;1;183;1
nein;3;190;1
nein;2;186;1
nein;2;175;1
ja;1;185;1
nein;2;166;3
nein;0;185;1
nein;0;173;4
nein;2;1,63;3
ja;1;186;4
ja;3;157;5
ja;1;173;3
nein;0;1,66;4
nein;2;186;1
nein;1;160;2
nein;3;183;3
nein;1;180;2
ja;2;162,5;1
ja;2;170;Keiner
nein;1;173;2
nein;1;1,90;3
nein;1;167;1
ja;0;170;Keiner
nein;4;176 cm;1
nein;4;163;5
nein;5 und mehr;167;4
nein;1;174;2
ja;1;164 cm ;3
nein;5 und mehr;159;5
ja;1;183cm;1
ja;1;162;2
nein;1;169;2
nein;1;160;1
nein;5 und mehr;165;1
nein;2;168;4
nein;1;177;1
nein;1;175;5
nein;5 und mehr;176;3
nein;3;168;3
ja;1;1,75;2
nein;1;175;4
nein;1;189;1
ja;0;174;5
ja;1;178;3
nein;1;177;2
ja;0;188;3
nein;1;180;2
nein;1;166;4
nein;1;186;1
nein;2;180;1
nein;3;1,80;2
nein;1;193;3
nein;1;183;4
nein;2;176;2
nein;3;1,80;4
ja;1;168;1
nein;1;185;1
nein;1;185;1
nein;1;189;3
ja;1;175;3
nein;2;190;1
nein;1;165;3
nein;4;169;4
nein;1;185;2
nein;1;178;1
nein;3;182;2
nein;2;194;Keiner
nein;2;175;1
nein;1;171;5
nein;2;193;1
ja;1;194;2
