geo;TIME_PERIOD;freq;unit;values
Albania;2018-01-01;Annual;Number;161
Albania;2024-01-01;Annual;Number;328
Austria;2018-01-01;Annual;Number;562
Austria;2024-01-01;Annual;Number;569
Belgium;2018-01-01;Annual;Number;511
Belgium;2024-01-01;Annual;Number;513
Bosnia and Herzegovina;2018-01-01;Annual;Number;263
Bosnia and Herzegovina;2024-01-01;Annual;Number;321
Bulgaria;2018-01-01;Annual;Number;416
Bulgaria;2024-01-01;Annual;Number;484
Croatia;2018-01-01;Annual;Number;420
Croatia;2024-01-01;Annual;Number;513
Cyprus;2018-01-01;Annual;Number;619
Cyprus;2024-01-01;Annual;Number;661
Czechia;2018-01-01;Annual;Number;540
Czechia;2024-01-01;Annual;Number;608
Denmark;2018-01-01;Annual;Number;447
Denmark;2024-01-01;Annual;Number;478
Estonia;2018-01-01;Annual;Number;563
Estonia;2024-01-01;Annual;Number;635
Finland;2018-01-01;Annual;Number;629
Finland;2024-01-01;Annual;Number;666
France;2018-01-01;Annual;Number;568
France;2024-01-01;Annual;Number;576
Georgia;2018-01-01;Annual;Number;292
Georgia;2024-01-01;Annual;Number;414
Germany;2018-01-01;Annual;Number;567
Germany;2024-01-01;Annual;Number;590
Greece;2018-01-01;Annual;Number;493
Greece;2024-01-01;Annual;Number;579
Hungary;2018-01-01;Annual;Number;375
Hungary;2024-01-01;Annual;Number;447
Iceland;2018-01-01;Annual;Number;749
Iceland;2024-01-01;Annual;Number;639
Ireland;2018-01-01;Annual;Number;442
Ireland;2024-01-01;Annual;Number;466
Italy;2018-01-01;Annual;Number;652
Italy;2024-01-01;Annual;Number;701
Kosovo*;2018-01-01;Annual;Number;156
Kosovo*;2024-01-01;Annual;Number;232
Latvia;2018-01-01;Annual;Number;369
Latvia;2024-01-01;Annual;Number;424
Liechtenstein;2018-01-01;Annual;Number;780
Liechtenstein;2024-01-01;Annual;Number;767
Lithuania;2018-01-01;Annual;Number;509
Lithuania;2024-01-01;Annual;Number;598
Luxembourg;2018-01-01;Annual;Number;676
Luxembourg;2024-01-01;Annual;Number;670
Malta;2018-01-01;Annual;Number;609
Malta;2024-01-01;Annual;Number;576
Moldova;2018-01-01;Annual;Number;226
Moldova;2024-01-01;Annual;Number;354
Montenegro;2018-01-01;Annual;Number;332
Montenegro;2024-01-01;Annual;Number;417
Netherlands;2018-01-01;Annual;Number;489
Netherlands;2024-01-01;Annual;Number;513
North Macedonia;2018-01-01;Annual;Number;200
North Macedonia;2024-01-01;NA;NA;NA
Norway;2018-01-01;Annual;Number;516
Norway;2024-01-01;Annual;Number;517
Poland;2018-01-01;Annual;Number;524
Poland;2024-01-01;Annual;Number;611
Portugal;2018-01-01;Annual;Number;511
Portugal;2024-01-01;Annual;Number;567
Romania;2018-01-01;Annual;Number;332
Romania;2024-01-01;Annual;Number;444
Serbia;2018-01-01;Annual;Number;287
Serbia;2024-01-01;Annual;Number;377
Slovakia;2018-01-01;Annual;Number;426
Slovakia;2024-01-01;Annual;Number;502
Slovenia;2018-01-01;Annual;Number;549
Slovenia;2024-01-01;Annual;Number;587
Spain;2018-01-01;Annual;Number;539
Spain;2024-01-01;Annual;Number;544
Sweden;2018-01-01;Annual;Number;476
Sweden;2024-01-01;Annual;Number;470
Switzerland;2018-01-01;Annual;Number;546
Switzerland;2024-01-01;Annual;Number;542
Türkiye;2018-01-01;Annual;Number;151
Türkiye;2024-01-01;Annual;Number;189
United Kingdom;2018-01-01;Annual;Number;473
United Kingdom;2024-01-01;NA;NA;NA
