Befragtennummer;Erhebungsmonat;Erhebungswoche;Bundesland;Erhebungsgebiet;Einwohner;Polit_interesse
20001;Januar;2. Woche, Januar 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 50 000 Einwohner;etwas
20002;Januar;2. Woche, Januar 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 2 000 Einwohner;stark
20003;Januar;2. Woche, Januar 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 10 000 Einwohner;stark
20004;Januar;2. Woche, Januar 2021;Sachsen;Befragungsgebiet neue Bundesländer;bis 2 000 Einwohner;kaum
20005;Januar;2. Woche, Januar 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 10 000 Einwohner;stark
20006;Januar;2. Woche, Januar 2021;Schleswig-Holstein;Befragungsgebiet alte Bundesländer;bis 20 000 Einwohner;Sehr stark
20007;Januar;2. Woche, Januar 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 5 000 Einwohner;Sehr stark
20008;Januar;2. Woche, Januar 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 50 000 Einwohner;kaum
20009;Januar;2. Woche, Januar 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 500 000 Einwohner;stark
20010;Januar;2. Woche, Januar 2021;Niedersachsen;Befragungsgebiet alte Bundesländer;bis 2 000 Einwohner;stark
20011;Januar;2. Woche, Januar 2021;Brandenburg;Befragungsgebiet neue Bundesländer;KA;etwas
20012;Januar;2. Woche, Januar 2021;Bayern;Befragungsgebiet alte Bundesländer;bis 20 000 Einwohner;stark
20013;Januar;2. Woche, Januar 2021;Sachsen;Befragungsgebiet neue Bundesländer;über 500 000 Einwohner;stark
20014;Januar;2. Woche, Januar 2021;Nordrhein-Westfalen;Befragungsgebiet alte Bundesländer;bis 50 000 Einwohner;etwas
20015;Januar;2. Woche, Januar 2021;Sachsen-Anhalt;Befragungsgebiet neue Bundesländer;bis 50 000 Einwohner;Sehr stark
